old_ethnic,FAMILY,DOUBTFUL,ETHNICITY,VARIANT,intersecti,persistent,persistenc,murdock_na,atlantic_n,atlantic_1,atlantic_2,atlantic_3,indian_num,indian_n_1,indian_n_2,indian_n_3,atlantic_a,indian_all,total_ensl,slave_trad,country,west_afric,area,num_coloni,Belgium,Britain,France,Germany,Independen,Italy,Portugal,Spain,gold_dep,diamonds,oil,neighbors,lat,lon,population_2014,population_2015,population_2016,population_2017,population_2018,malaria-pf,malaria-pv,surface
ZUMPER,Bantoid,NO,JUKUN,,44.97399228175971,0,16.513232532803947,ZUMPER,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,126.0,0.0,126.0,1,Nigeria,1.0,2429.7318184832748,2,0,1,0,1,0,0,0,0,0.0,0.0,0.0,4,7.255056189878326,10.127099146698024,231726.0,222369.0,214864.0,220486.0,235561.0,0.6329378073480024,0.7830096695361567,1.0
ZULU,Bantu,NO,KHUMALO,,77.78652060289912,0,0.0,ZULU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,South Africa,0.0,89850.47925734644,1,0,1,0,0,0,0,0,0,0.0,1.0,0.0,6,-29.12318468868203,30.398918719586554,9574520.0,10616499.0,10744023.0,10809556.0,10896497.0,0.10825073017185298,0.206927614596452,6.0
"ZUANDE, BATU (E)",Bantoid,NO,NDOOLA,NDORO,45.00887139969535,0,0.0,"ZUANDE, BATU (E)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Nigeria,1.0,2672.8965527627515,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,5,7.335219852055642,11.128070680748138,67105.0,65550.0,63270.0,64784.0,69130.0,0.5664110598883858,0.7483540872259294,2.0
ZIMBA,Bantu,NO,SENA,,68.81320671019924,0,0.0,ZIMBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Mozambique,0.0,19206.371014751316,2,0,1,0,0,0,0,1,0,0.0,0.0,0.0,6,-16.816274165587515,34.76872880295275,886261.0,943619.0,946222.0,937220.0,929478.0,0.5098018217503733,0.6651698539800597,1.0
ZIGULA,Bantu,NO,ZIGUA,,62.40781973201754,1,62.40781973201754,ZIGULA,0.0,0.0,0.0,0.0,1166.0,583.0,1252.0,1958.0,0.0,4959.0,4959.0,1,Tanzania,0.0,9763.616226599992,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,6,-5.487515913314503,38.16503272042413,566034.0,573465.0,581636.0,576480.0,575447.0,0.4645205964362698,0.6658638078895227,2.0
ZIBAN,"Semitic: Arab, Bedouin",NO,ZIBAN,,39.30703860645819,1,39.30703860645819,ZIBAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Algeria,0.0,12127.0139153352,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,5,34.57954060027846,5.707389976663216,636906.0,651728.0,664435.0,675593.0,687001.0,0.16375493382653358,0.2276958522797744,1.0
ZEZURU,Bantu,NO,SHONA,,94.80927052037626,0,0.0,ZEZURU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Zimbabwe,0.0,56841.63227078672,1,0,1,0,0,0,0,0,0,31.0,0.0,0.0,4,-18.17522075747737,30.961636630207106,5136648.0,5302290.0,5409837.0,5131191.0,5210138.0,0.148136485091456,0.27316438607880167,1.0
ZERMA,Songhai,NO,ZARMA,DJERMA,86.9365703854457,0,0.0,ZERMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Niger,1.0,44425.327963621945,2,0,1,1,0,0,0,0,0,1.0,0.0,0.0,9,13.58422043697584,2.723257858337937,3756019.0,3862342.0,3387602.0,3494093.0,3595205.0,0.35046350170752244,0.4374579332545846,1.0
ZENEGA,Berber,NO,ZENAGA,,55.13171540777484,1,55.13171540777484,ZENEGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Mauritania,1.0,218068.96141276282,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0,7,17.419132468490748,-8.732321770571644,632883.0,643136.0,658681.0,632701.0,632464.0,0.27950354672996924,0.3652089039396878,1.0
ZEKARA,"Semitic: Arab, Bedouin",NO,YAHI,,39.628274278044984,0,36.17086484878199,ZEKARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Morocco,0.0,3538.637921671687,2,0,0,1,0,0,0,0,1,0.0,0.0,0.0,4,34.238479419965806,-2.054692268372265,124866.0,124306.0,122809.0,113697.0,73995.0,0.09981910831140543,0.15692859038632828,2.0
ZARAMO,Bantu,NO,ZARAMO,,37.66741044994883,1,37.66741044994883,ZARAMO,0.0,0.0,0.0,0.0,23688.0,11844.0,25432.0,39778.0,0.0,100742.0,100742.0,1,Tanzania,0.0,23975.276195055485,2,0,1,0,1,0,0,0,0,0.0,0.0,0.0,7,-7.246785772909029,38.88432187135374,5423457.0,5577247.0,5743603.0,6013614.0,6274973.0,0.7013732331017449,0.8802171252532073,1.0
ZAGHAWA,Saharan,NO,ZAGHAWA,,43.87136533650841,1,43.87136533650841,ZAGHAWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sudan,0.0,79058.72129856888,2,0,1,1,0,0,0,0,0,0.0,0.0,0.0,9,15.657123544020184,24.70568062319044,317521.0,350508.0,368295.0,387269.0,439834.0,0.3206075344183078,0.420276437298114,1.0
